"","type","one","two","three","four"
"1","Chinese",25,25,0,0
"2","German",6,10,0,0
"3","Indian",10,40,0,0
"4","Italian",3,34,12,1
"5","Japanese",2,39,7,2
"6","Korean",25,24,1,0
"7","Mediterranean",25,23,1,0
"8","Mexican",20,30,0,0
"9","Thai",14,36,0,0
"10","Traditional American",11,36,2,1
