"","type","one","two","three","four"
"1","Chinese",18,32,0,0
"2","German",1,3,1,0
"3","Indian",13,36,0,0
"4","Italian",5,38,7,0
"5","Japanese",7,37,5,0
"6","Korean",22,23,0,0
"7","Mediterranean",28,21,0,0
"8","Mexican",19,30,1,0
"9","Thai",6,41,1,0
"10","Traditional American",6,39,5,0
