"","type","one","two","three","four"
"1","Chinese",23,27,0,0
"2","German",6,10,1,0
"3","Indian",18,24,0,0
"4","Italian",6,39,5,0
"5","Japanese",13,35,1,1
"6","Korean",26,20,1,0
"7","Mediterranean",27,23,0,0
"8","Mexican",34,16,0,0
"9","Thai",17,33,0,0
"10","Traditional American",18,32,0,0
