"","type","one","two","three","four"
"1","Chinese",22,26,2,0
"2","German",2,12,1,0
"3","Indian",17,32,1,0
"4","Italian",0,40,10,0
"5","Japanese",3,37,10,0
"6","Korean",14,33,2,0
"7","Mediterranean",28,18,3,0
"8","Mexican",27,21,2,0
"9","Thai",15,34,1,0
"10","Traditional American",4,41,4,1
