"","type","one","two","three","four"
"1","Chinese",20,29,0,0
"2","German",0,4,0,0
"3","Indian",12,37,1,0
"4","Italian",4,27,17,2
"5","Japanese",5,37,5,3
"6","Korean",5,31,0,1
"7","Mediterranean",30,12,7,1
"8","Mexican",28,20,1,0
"9","Thai",10,39,1,0
"10","Traditional American",7,38,4,1
