"","type","one","two","three","four"
"1","Chinese",20,30,0,0
"2","German",7,13,0,0
"3","Indian",13,37,0,0
"4","Italian",3,38,7,2
"5","Japanese",2,38,6,4
"6","Korean",11,38,1,0
"7","Mediterranean",18,31,1,0
"8","Mexican",29,19,2,0
"9","Thai",20,30,0,0
"10","Traditional American",9,36,5,0
