"","type","one","two","three","four"
"1","Chinese",25,24,1,0
"2","German",1,5,1,0
"3","Indian",18,30,2,0
"4","Italian",5,35,9,1
"5","Japanese",8,37,5,0
"6","Korean",13,28,0,0
"7","Mediterranean",19,29,1,0
"8","Mexican",30,17,3,0
"9","Thai",15,34,0,0
"10","Traditional American",13,33,3,0
