"","type","one","two","three","four"
"1","Chinese",18,30,1,1
"2","German",3,10,1,0
"3","Indian",9,38,2,1
"4","Italian",1,37,11,1
"5","Japanese",0,34,8,8
"6","Korean",9,41,0,0
"7","Mediterranean",19,26,5,0
"8","Mexican",25,24,0,1
"9","Thai",6,44,0,0
"10","Traditional American",10,35,5,0
