"","type","one","two","three","four"
"1","Chinese",29,21,0,0
"2","German",0,3,0,0
"3","Indian",10,22,0,0
"4","Italian",4,42,4,0
"5","Japanese",14,32,3,1
"6","Korean",5,12,0,0
"7","Mediterranean",28,20,2,0
"8","Mexican",29,21,0,0
"9","Thai",5,45,0,0
"10","Traditional American",17,31,1,0
