most.pop.city,states,lat,long,japenese,korean,mediteranian,mexican,Italian,Indian,chinese,thai,american,Obesity,states,Rating,Favorite,State,
Oklahoma City,OK,35.4676,-97.5164,3.892857143,4.2,4.15,4.02,3.8,4,3.8,4.032258065,3.93,33.9,OK,4.2,Korean,Oklahoma,
Portland,OR,45.5231,-122.6765,4.13,3.9,4.23,4.26,4.08,3.911111111,3.87,4.26,4.09,30.1,OR,4.26,Thai,Oregon,
Philadelphia,PA,39.9526,-75.1652,3.91,4.02,4.14,4.2,4.15,3.85,3.99,3.91,3.99,30,PA,4.2,Mediterranean,Pennsylvania,
Providence,RI,41.824,-71.4128,3.875,3.75,3.8,3.905405405,3.78,3.888888889,3.5,3.84375,3.523255814,26,RI,3.905405405,Mexican,Rhode Island,
Columbia,SC,34.0007,-81.0348,3.333333333,4.3125,3.666666667,3.74,3.304347826,4.111111111,3.7,3.5,3.52,31.7,SC,4.3125,Korean,South Carolina,
Sioux Falls,SD,42.5446,-96.7311,3.857142857,-1,3.833333333,3.569444444,2.571428571,4,3.631578947,-1,3.28,30.4,SD,4,Indian,South Dakota,
Memphis,TN,35.1495,-90.049,3.758064516,3.5,4,3.85,3.45,3.8,3.69,3.857142857,3.89,33.8,TN,4,Indian,Tennessee,
Houston,TX,29.7604,-95.3698,3.82,3.755813953,4.02,4.16,3.94,3.86,3.83,3.642857143,3.96,32.4,TX,4.16,Mexican,Texas,
Salt Lake City,UT,40.7608,-111.891,3.91,3.75,3.980769231,4.06,3.7,3.766666667,3.54,3.948717949,3.72,24.5,UT,4.06,Mexican,Utah,
Virginia Beach,VA,36.8529,-75.978,3.79,4.125,3.956521739,3.73,3.89,4.090909091,3.84,3.904761905,3.85,29.2,VA,4.125,Korean,Virginia,
Burlington,VT,44.4759,-73.2121,3.928571429,2.5,4.166666667,3.136363636,3.233333333,3.4,3.3,3.571428571,3.62,25.1,VT,4.166666667,Mediterranean,Vermont,
Seattle,WA,47.6062,-122.3321,4.06,3.86,4.14,4.13,4.13,3.64,3.95,4.02,4.04,26.4,WA,4.14,Mediterranean,Washington,
Milwaukee,WI,43.0389,-87.9065,3.53125,3.666666667,3.75,3.86,3.82,3.947368421,3.48,3.795454545,3.73,30.7,WI,3.947368421,Indian,Wisconsin,
Charleston,WV,38.3498,-81.6326,3.75,4,3.857142857,3.475,3.433333333,3.666666667,3.458333333,4.5,2.967741935,35.6,WV,4.5,Thai,West Virginia,
Cheyenne,WY,41.14,-104.8202,3.40625,4,4.0625,3.125,3.333333333,4,3,3.642857143,3.222222222,29,WY,4.0625,Mediterranean,Wyoming,
