"","type","one","two","three","four"
"1","Chinese",22,28,0,0
"2","German",2,4,0,0
"3","Indian",4,36,0,0
"4","Italian",1,45,4,0
"5","Japanese",6,39,5,0
"6","Korean",8,16,0,0
"7","Mediterranean",18,30,0,0
"8","Mexican",21,29,0,0
"9","Thai",18,32,0,0
"10","Traditional American",10,38,1,0
