"","type","one","two","three","four"
"1","Chinese",24,25,0,0
"2","German",1,1,0,0
"3","Indian",6,20,0,0
"4","Italian",7,38,5,0
"5","Japanese",12,34,2,0
"6","Korean",6,7,0,0
"7","Mediterranean",11,13,0,0
"8","Mexican",33,15,1,0
"9","Thai",13,26,0,0
"10","Traditional American",19,30,1,0
